,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.7513661202185792,0.8780487804878049,0.9978251599147121,0.5500515995872033,0.5704697986577181,0.8282828282828283,0.9636363636363636,0.9652459016393443,0.7913829501121729,0.9767530148959102
recall,0.9136212624584718,0.6,0.9701882411476905,0.9797794117647058,0.9115281501340483,0.8601398601398601,0.8688524590163934,0.9652459016393443,0.8720156263801669,0.9652459016393443
f1-score,0.8245877061469266,0.712871287128713,0.9838126471577531,0.7045604758757436,0.7017543859649122,0.8439108061749572,0.9137931034482758,0.9652459016393443,0.8121843445567544,0.9687543603276664
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9652459016393443,25925.0,25925.0
