,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.7150127226463104,0.7130434782608696,0.9987649589029428,0.5772179627601315,0.6377079482439926,0.9093959731543624,0.9565217391304348,0.9694889103182257,0.7868092547284348,0.978823517405923
recall,0.9335548172757475,0.6833333333333333,0.972385769964342,0.96875,0.9249329758713136,0.9475524475524476,0.9617486338797814,0.9694889103182257,0.9131797111252808,0.9694889103182257
f1-score,0.8097982708933716,0.6978723404255319,0.985398852917078,0.723404255319149,0.7549234135667396,0.928082191780822,0.9591280653950953,0.9694889103182257,0.8369439128996838,0.9723978316688403
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9694889103182257,25925.0,25925.0
