,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.4504950495049505,0.8235294117647058,0.9982196902260994,0.38139870223503963,0.4105011933174224,0.645933014354067,0.9540229885057471,0.9272131147540984,0.6663000071297188,0.9654544230013845
recall,0.9069767441860465,0.23333333333333334,0.9299278547143213,0.9724264705882353,0.9222520107238605,0.9440559440559441,0.907103825136612,0.9272131147540984,0.8308680261054789,0.9272131147540984
f1-score,0.6019845644983461,0.3636363636363636,0.9628643798566092,0.5479026411185913,0.5681255161023947,0.7670454545454546,0.9299719887955182,0.9272131147540984,0.677361558364754,0.9391215644804765
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9272131147540984,25925.0,25925.0
