,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.8136094674556213,0.7565217391304347,0.9979403110550652,0.710926694329184,0.7012195121951219,0.9405594405594405,0.9613259668508287,0.9799421407907425,0.8403004473679567,0.9834995229362938
recall,0.9136212624584718,0.725,0.9843685214362716,0.9448529411764706,0.9249329758713136,0.9405594405594405,0.9508196721311475,0.9799421407907425,0.9120221162333022,0.9799421407907425
f1-score,0.8607198748043818,0.7404255319148936,0.991107956917425,0.8113654301499605,0.7976878612716762,0.9405594405594405,0.956043956043956,0.9799421407907425,0.8711300073802477,0.9810740930103115
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9799421407907425,25925.0,25925.0
