,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.6441860465116279,0.7352941176470589,0.9982542048115819,0.6177184466019418,0.608058608058608,0.7869318181818182,0.9354838709677419,0.9677145612343298,0.760846730397197,0.9765527849530491
recall,0.920265780730897,0.625,0.9720540675014512,0.9356617647058824,0.8900804289544236,0.9685314685314685,0.9508196721311475,0.9677145612343298,0.8946304546507527,0.9677145612343298
f1-score,0.7578659370725034,0.6756756756756757,0.9849799382391865,0.7441520467836258,0.7225244831338412,0.8683385579937305,0.943089430894309,0.9677145612343298,0.8138037242561247,0.9704993410874324
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9677145612343298,25925.0,25925.0
