,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.4384858044164038,0.0,0.9983658687395106,0.4248747913188648,0.37199124726477023,0.7619047619047619,0.95,0.9324975891996142,0.5636603533777588,0.9632482789971393
recall,0.9235880398671097,0.0,0.9372667717057799,0.9356617647058824,0.9115281501340483,0.951048951048951,0.9344262295081968,0.9324975891996142,0.7990742724242812,0.9324975891996142
f1-score,0.5946524064171124,0.0,0.9668520102651839,0.5843857634902412,0.5283605283605284,0.8460342146189735,0.9421487603305784,0.9324975891996142,0.6374905262118026,0.942213712588079
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9324975891996142,25925.0,25925.0
