,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.009468599033816425,0.0037174721189591076,0.896398891966759,0.016983352951067766,0.028526148969889066,0.028761061946902654,0.0,0.19822565091610414,0.14055078956962772,0.835130163267337
recall,0.32558139534883723,0.008333333333333333,0.20126046935898498,0.18566176470588236,0.19302949061662197,0.045454545454545456,0.0,0.19822565091610414,0.13704585697402932,0.19822565091610414
f1-score,0.01840202797859356,0.005141388174807198,0.32871702840889855,0.031120012324757362,0.04970659302726959,0.03523035230352303,0.0,0.19822565091610414,0.06690248603112134,0.3077993826357182
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.19822565091610414,25925.0,25925.0
