,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.3692098092643052,0.0,0.9989379591114258,0.46536412078152756,0.3581932773109244,0.764367816091954,0.9700598802395209,0.9310703953712632,0.560876123257094,0.9637960338694764
recall,0.9003322259136213,0.0,0.9359814246620781,0.9632352941176471,0.9142091152815014,0.9300699300699301,0.8852459016393442,0.9310703953712632,0.7898676988120173,0.9310703953712632
f1-score,0.523671497584541,0.0,0.9664354824899392,0.6275449101796408,0.5147169811320755,0.8391167192429022,0.9257142857142857,0.9310703953712632,0.6281714109061978,0.9415191146983403
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9310703953712632,25925.0,25925.0
