,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.8040345821325648,0.7904761904761904,0.9985988451086957,0.5975336322869955,0.6236363636363637,0.920265780730897,0.9887640449438202,0.972420443587271,0.8176156341879325,0.9806323236846602
recall,0.9269102990033222,0.6916666666666667,0.9751637780910524,0.9797794117647058,0.9195710455764075,0.9685314685314685,0.9617486338797814,0.972420443587271,0.9176244719304865,0.972420443587271
f1-score,0.8611111111111112,0.7377777777777778,0.9867421858611286,0.7423398328690808,0.743228602383532,0.9437819420783646,0.9750692520775623,0.972420443587271,0.8557215291655081,0.9749428066619449
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.972420443587271,25925.0,25925.0
