,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.7421052631578947,0.7735849056603774,0.9989747533000128,0.5550935550935551,0.6017391304347826,0.875,0.9502762430939227,0.9671745419479267,0.7852534072486492,0.978208181874204
recall,0.9368770764119602,0.6833333333333333,0.9696077618376316,0.9816176470588235,0.9276139410187667,0.9545454545454546,0.9398907103825137,0.9671745419479267,0.9133551320840692,0.9671745419479267
f1-score,0.8281938325991189,0.7256637168141593,0.9840722115849937,0.7091633466135459,0.7299578059071729,0.9130434782608695,0.9450549450549451,0.9671745419479267,0.8335927624049722,0.9705826113992563
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9671745419479267,25925.0,25925.0
