,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.534516765285996,0.8305084745762712,0.9979942054825051,0.3655316191799861,0.3754080522306855,0.6777493606138107,0.96,0.9262873674059788,0.6773869253384649,0.9658078122499055
recall,0.9003322259136213,0.4083333333333333,0.92835226801559,0.9669117647058824,0.9249329758713136,0.9265734265734266,0.9180327868852459,0.9262873674059788,0.8533526830426305,0.9262873674059788
f1-score,0.6707920792079208,0.5474860335195532,0.9619143771615148,0.5305093292990418,0.5340557275541795,0.7828655834564253,0.9385474860335195,0.9262873674059788,0.7094529451760222,0.9392675524233136
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9262873674059788,25925.0,25925.0
