,LOC_B,LOC_I,O,ORG_B,ORG_I,PER_B,PER_I,accuracy,macro avg,weighted avg
precision,0.40088757396449703,0.7407407407407407,0.9980802714406893,0.398501872659176,0.39724454649827784,0.6027088036117382,0.9655172413793104,0.9242044358727097,0.6433830071849185,0.964137999723609
recall,0.9003322259136213,0.16666666666666666,0.9269425325483042,0.9779411764705882,0.9276139410187667,0.9335664335664335,0.9180327868852459,0.9242044358727097,0.8215851090099466,0.9242044358727097
f1-score,0.5547594677584442,0.272108843537415,0.9611969817486081,0.5662586482171368,0.5562700964630225,0.7325102880658437,0.9411764705882353,0.9242044358727097,0.6548972566255294,0.9365111341927878
support,301.0,120.0,24118.0,544.0,373.0,286.0,183.0,0.9242044358727097,25925.0,25925.0
